Symbol,Side,SL,TP,Open Time,Open Price,Close Time,Close Price,PnL,Lots,Gain,Day of the week,Session,RR Ratio,Pips,Hour_Decimal,Losing_Streak,Equity_Curve,Equity_Curve_Delayed,Drawdown_State,Lot_Deviation,Prev_Close_Time,Revenge_Timer,Is_High_Risk,Real_Equity,Shadow_Equity
GBPUSD,BUY,1.27049,1.27521,2025-01-22 11:32:00,1.27079,2025-01-22 11:33:00,1.27049,27.0,1.0,0.2,Monday,LND,0.97,2.9,11.533333333333333,9,94650.0,94623.0,10.224857685009487,-1.0660198512979204,2025-01-22 09:43:00,109.0,0,94650.0,103320.0
GBPUSD,SELL,1.27163,1.26537,2025-01-23 13:40:00,1.27134,2025-01-23 13:41:00,1.27163,-27.0,1.0,-0.34,Tuesday,NY,0.0,-2.7,13.666666666666666,0,94623.0,94650.0,10.199240986717268,-0.964346491232423,2025-01-22 11:33:00,1567.0,1,94623.0,103320.0
GBPUSD,BUY,1.27088,1.27412,2025-01-23 13:49:00,1.27113,2025-01-23 13:50:00,1.27088,-27.0,1.0,-0.34,Tuesday,NY,0.0,-2.7,13.816666666666666,1,94596.0,94623.0,10.224857685009487,-0.8721830779993982,2025-01-23 13:41:00,8.0,1,94596.0,103320.0
GBPUSD,BUY,1.27413,1.27743,2025-01-24 17:46:00,1.27443,2025-01-24 17:47:00,1.27413,-10.0,1.0,-0.17,Wednesday,NY,0.0,-1.0,17.766666666666666,2,94586.0,94596.0,10.250474383301707,-0.7870226080400495,2025-01-23 13:50:00,1676.0,1,94586.0,103320.0
GBPUSD,SELL,1.27324,1.27032,2025-01-25 09:55:00,1.27272,2025-01-25 09:56:00,1.27324,-50.0,1.0,-0.57,Thursday,LND,0.0,-5.0,9.916666666666666,3,94536.0,94586.0,10.259962049335863,-0.7068719478031703,2025-01-24 17:47:00,968.0,1,94536.0,103320.0
GBPUSD,SELL,1.27071,1.26754,2025-01-26 09:25:00,1.27036,2025-01-26 09:26:00,1.27071,-35.0,1.0,-0.42,Friday,LND,0.0,-3.5,9.416666666666666,4,94501.0,94536.0,10.30740037950664,-0.6300065974054849,2025-01-25 09:56:00,1409.0,1,94501.0,103320.0
GBPUSD,SELL,1.27367,1.26814,2025-01-26 11:57:00,1.27337,2025-01-26 11:58:00,1.27367,0.0,1.0,-0.07,Friday,LND,0.0,0.0,11.95,5,94501.0,94501.0,10.340607210626187,-0.5547566281552033,2025-01-26 09:26:00,151.0,0,94501.0,103320.0
EUROUSD,BUY,1.03621,1.03798,2025-02-03 09:26:00,1.03646,2025-02-03 09:27:00,1.03621,-640.0,20.0,-0.7,Monday,London,0.0,-3.2,9.433333333333334,0,93861.0,94501.0,10.340607210626187,1.687876549493491,2025-01-26 11:58:00,11368.0,1,93861.0,103320.0
GBPUSD,BUY,1.24984,1.25158,2025-02-03 09:28:00,1.24998,2025-02-03 09:29:00,1.24984,-240.0,20.0,-0.3,Monday,London,11.43,34.3,9.466666666666667,1,93621.0,93861.0,10.947817836812144,1.4885996593563227,2025-02-03 09:27:00,1.0,1,93621.0,103320.0
GBPUSD,SELL,1.25003,1.24631,2025-02-03 09:30:00,1.24973,2025-02-03 09:31:00,1.25003,6860.0,20.0,6.8,Monday,London,11.4,34.2,9.5,2,100481.0,93621.0,11.175521821631879,1.3280624473877747,2025-02-03 09:29:00,1.0,0,100481.0,103320.0
GBPUSD,SELL,1.249,1.24632,2025-02-03 10:17:00,1.2487,2025-02-03 10:18:00,1.249,4760.0,20.0,4.7,Monday,London,7.93,23.8,10.283333333333333,0,105241.0,100481.0,4.6669829222011385,1.1935798975343337,2025-02-03 09:31:00,46.0,0,105241.0,108080.0
EUROUSD,SELL,1.03554,1.0341,2025-02-03 10:17:00,1.03534,2025-02-03 10:18:00,1.03554,-500.0,20.0,-0.56,Monday,London,0.0,-2.5,10.283333333333333,0,104741.0,105241.0,0.150853889943074,1.0775486583496408,2025-02-03 10:18:00,-1.0,1,104741.0,107580.0
GBPUSD,SELL,1.26267,1.25181,2025-02-05 09:00:00,1.26237,2025-02-05 09:01:00,1.26267,-30.0,2.0,-0.86,Monday,LND,0.0,-3.0,9.0,1,104711.0,104741.0,0.6252371916508539,-0.7785160163195971,2025-02-03 10:18:00,2802.0,0,104711.0,107550.0
GBPUSD,BUY,1.25528,1.25834,2025-02-06 09:23:00,1.25553,2025-02-06 09:24:00,1.25528,-50.0,2.0,-0.64,Tuesday,LND,0.0,-2.5,9.383333333333333,2,104661.0,104711.0,0.6537001897533207,-0.6992256634798006,2025-02-05 09:01:00,1462.0,0,104661.0,107500.0
GBPUSD,BUY,1.25482,1.25815,2025-02-06 09:28:00,1.25507,2025-02-06 09:29:00,1.25482,-54.0,2.0,-0.68,Tuesday,LND,3.04,-2.7,9.466666666666667,3,104607.0,104661.0,0.7011385199240987,-0.623144750689727,2025-02-06 09:24:00,4.0,1,104607.0,107446.0
GBPUSD,BUY,1.26281,1.26605,2025-02-08 09:57:00,1.26304,2025-02-08 09:58:00,1.26281,-46.0,2.0,-0.6,Thursday,LND,0.0,-2.3,9.95,4,104561.0,104607.0,0.7523719165085389,-0.5486825197633448,2025-02-06 09:29:00,2908.0,1,104561.0,107446.0
GBPUSD,SELL,1.26129,1.25799,2025-02-09 13:30:00,1.26099,2025-02-09 13:31:00,1.26129,-168.0,2.0,-1.82,Friday,NY,0.0,-8.4,13.5,5,104393.0,104561.0,0.7960151802656545,-0.4740888376004002,2025-02-08 09:58:00,1652.0,1,104393.0,107446.0
GBPUSD,BUY,1.26128,1.26458,2025-02-12 12:20:00,1.26158,2025-02-12 12:21:00,1.26128,-68.0,2.0,-0.82,Monday,NY,0.0,-6.8,12.333333333333334,6,104325.0,104393.0,0.9554079696394687,-0.4817271724765897,2025-02-09 13:31:00,4249.0,1,104325.0,107446.0
GBPUSD,BUY,1.26128,1.26458,2025-02-12 12:20:00,1.26152,2025-02-12 12:21:00,1.26128,-16.0,2.0,-0.3,Monday,NY,0.0,-1.6,12.333333333333334,7,104309.0,104325.0,1.0199240986717266,-0.48944232307468216,2025-02-12 12:21:00,-1.0,1,104309.0,107446.0
GBPUSD,BUY,1.26091,1.26312,2025-02-12 15:33:00,1.26121,2025-02-12 15:34:00,1.26312,382.0,2.0,3.68,Monday,NY,6.37,19.1,15.55,8,104691.0,104309.0,1.0351043643263758,-0.49723651861264045,2025-02-12 12:21:00,192.0,0,104691.0,107446.0
