Date,Symbol,PnL_Saved,Risk_Score,Reason
2025-06-18 15:50:00,GBPUSD,640.0,76.2,"Losing_Streak: 0.16, RR Ratio: -0.12, Revenge_Timer: 0.07"
2025-06-18 16:11:00,GBPUSD,600.0,88.7,"Losing_Streak: 0.12, RR Ratio: 0.09, Drawdown_State: 0.08"
2025-06-18 16:11:00,GBPUSD,600.0,77.0,"Losing_Streak: 0.16, RR Ratio: -0.11, Drawdown_State: 0.08"
2025-06-19 11:04:00,GBPUSD,500.0,76.1,"Revenge_Timer: 0.13, RR Ratio: -0.11, Losing_Streak: 0.09"
2025-06-19 12:38:00,GBPUSD,380.0,91.2,"Revenge_Timer: 0.12, RR Ratio: 0.10, Losing_Streak: 0.05"
2025-06-19 12:43:00,GBPUSD,200.0,75.3,"Revenge_Timer: 0.15, RR Ratio: -0.10, Losing_Streak: 0.08"
2025-06-19 12:43:00,GBPUSD,200.0,94.8,"Losing_Streak: 0.13, RR Ratio: 0.09, Revenge_Timer: 0.08"
2025-06-19 12:54:00,GBPUSD,340.0,77.5,"Losing_Streak: 0.13, RR Ratio: -0.12, Revenge_Timer: 0.12"
2025-06-19 12:54:00,GBPUSD,340.0,78.2,"Losing_Streak: 0.15, RR Ratio: -0.11, Revenge_Timer: 0.09"
2025-06-20 11:00:00,GBPUSD,60.0,83.1,"Losing_Streak: 0.14, RR Ratio: -0.10, Revenge_Timer: 0.10"
2025-06-24 10:16:00,GBPUSD,420.0,86.1,"Revenge_Timer: 0.16, RR Ratio: 0.08, Drawdown_State: -0.07"
2025-06-24 10:31:00,GBPUSD,360.0,82.0,"Revenge_Timer: 0.14, RR Ratio: 0.08, Drawdown_State: -0.08"
2025-06-25 08:15:00,GBPUSD,775.0,15.9,"Losing_Streak: -0.23, Drawdown_State: -0.21, Revenge_Timer: -0.08"
2025-06-25 08:15:00,GBPUSD,775.0,83.8,"Revenge_Timer: 0.13, Losing_Streak: 0.08, Lot_Deviation: 0.07"
2025-06-25 08:36:00,GBPUSD,445.0,81.7,"Losing_Streak: 0.14, Revenge_Timer: 0.09, RR Ratio: -0.08"
2025-06-27 10:02:00,GBPUSD,500.0,83.3,"Revenge_Timer: 0.17, RR Ratio: 0.09, Drawdown_State: -0.07"
2025-06-27 14:54:00,GBPUSD,440.0,74.2,"Revenge_Timer: 0.17, RR Ratio: 0.10, Drawdown_State: -0.08"
2025-07-09 09:25:00,GBPUSD,520.0,86.8,"Revenge_Timer: 0.17, RR Ratio: 0.07, Drawdown_State: -0.07"
2025-07-09 09:27:00,GBPUSD,240.0,85.3,"Revenge_Timer: 0.15, RR Ratio: 0.08, Drawdown_State: -0.06"
2025-07-09 09:54:00,GBPUSD,700.0,78.4,"Losing_Streak: 0.16, RR Ratio: 0.11, Revenge_Timer: -0.06"
2025-07-09 09:55:00,GBPUSD,500.0,92.0,"Losing_Streak: 0.14, RR Ratio: 0.09, Revenge_Timer: 0.09"
2025-07-10 09:38:00,GBPUSD,640.0,75.9,"Losing_Streak: 0.18, RR Ratio: 0.09, Revenge_Timer: -0.09"
2025-07-10 09:38:00,GBPUSD,720.0,95.0,"Losing_Streak: 0.16, RR Ratio: 0.09, Revenge_Timer: 0.09"
2025-07-10 09:41:00,GBPUSD,740.0,96.1,"Losing_Streak: 0.15, Revenge_Timer: 0.10, RR Ratio: 0.09"
2025-07-10 09:46:00,GBPUSD,700.0,96.4,"Losing_Streak: 0.13, RR Ratio: 0.10, Revenge_Timer: 0.09"
2025-07-10 11:15:00,GBPUSD,360.0,82.7,"Losing_Streak: 0.16, RR Ratio: 0.10, Revenge_Timer: -0.08"
2025-07-15 12:07:00,GBPUSD,260.0,93.3,"Revenge_Timer: 0.14, RR Ratio: 0.09, Losing_Streak: 0.05"
2025-07-17 13:43:00,GBPUSD,660.0,85.7,"Losing_Streak: 0.12, RR Ratio: 0.09, Drawdown_State: 0.07"
2025-07-17 14:00:00,GBPUSD,640.0,94.9,"Losing_Streak: 0.12, RR Ratio: 0.09, Drawdown_State: 0.07"
2025-07-22 09:18:00,GBPUSD,34.0,58.0,"Losing_Streak: 0.12, RR Ratio: -0.10, Drawdown_State: 0.08"
2025-07-23 14:59:00,GBPUSD,-0.0,70.6,"Revenge_Timer: 0.09, RR Ratio: 0.09, Hour_Decimal: -0.06"
2025-07-23 15:12:00,GBPUSD,220.0,76.9,"Losing_Streak: -0.17, RR Ratio: 0.14, Drawdown_State: 0.10"
